,id,magId,oaiIds,doi,documentType,abstract,publisher,dataProviders,authors,lcase_ttl,pubyear,journal_name,issns
0,196368306,,['oai:era.ed.ac.uk:1842/15732'],,,"this report assesses the differences between monitoring technology requirements for co2 storage in a saline or depleted hydrocarbon reservoir and in a hydrocarbon reservoir, when co2 injection is used for enhanced oil recovery (eor).
first order factors dictating technology choice including geological and geographic parameters are assessed before addressing differences introduced by the choice of process (eor or storage). a brief review of the most common monitoring technologies suitable for use in either co2 storage operations or in co2-eor projects are found to not vary significantly, however the measurements and analysis do. specific differences are highlighted, however, it is found that the largest differences in monitoring technology usage is not process related, rather it is controlled by site specific geology and geography. where differences do exist due to process choice it is shown to be largely related to the level of characterization, baseline assessment, likely infrastructure in place and pressure management during operations.
no specific different technologies or monitoring strategies are recommended for eor over co2 storage in either saline or depleted oil and gas reservoirs. rather, it is recommended to assess the local site- specific conditions of any co2 injection project including the geology, geography and the level of knowledge and understanding of the reservoir and then to build a risk based approach to selecting the appropriate monitoring technologies and deployment strategies.this report assesses the differences between monitoring technology requirements for co2 storage in a saline or depleted hydrocarbon reservoir and in a hydrocarbon reservoir, when co2 injection is used for enhanced oil recovery (eor).
first order factors dictating technology choice including geological and geographic parameters are assessed before addressing differences introduced by the choice of process (eor or storage). a brief review of the most common monitoring technologies suitable for use in either co2 storage operations or in co2-eor projects are found to not vary significantly, however the measurements and analysis do. specific differences are highlighted, however, it is found that the largest differences in monitoring technology usage is not process related, rather it is controlled by site specific geology and geography. where differences do exist due to process choice it is shown to be largely related to the level of characterization, baseline assessment, likely infrastructure in place and pressure management during operations.
no specific different technologies or monitoring strategies are recommended for eor over co2 storage in either saline or depleted oil and gas reservoirs. rather, it is recommended to assess the local site- specific conditions of any co2 injection project including the geology, geography and the level of knowledge and understanding of the reservoir and then to build a risk based approach to selecting the appropriate monitoring technologies and deployment strategies",scottish carbon capture and storage (sccs),['https://api.core.ac.uk/v3/data-providers/39'],"[{'name': 'Boait, Fran'}, {'name': 'JafarGandomi, Arash'}, {'name': 'Johnson, Gareth'}]","measurement, monitoring and verification: enhanced oil recovery and carbon dioxide storage",2015,,
1,215133703,,['oai:era.ed.ac.uk:1842/16475'],,,"this report is the technical output from work package 4, knowledge capture and reporting, from the co2multistore project. work package 1 of the project identified possible issues and potential concerns to the secure containment of co2 by the interaction between two or more geological storage sites within a deeply buried sandstone of regional extent. reduction of possible issues and mitigation of perceived concerns were investigated in work package 2 by static geological, dynamic flow and geomechanical modelling of two reasonable and realistic sites within a northern north sea case study of storage in the captain sandstone. work package 3 developed recommendations for a monitoring plan that specifically addresses the uncertainties and threats arising from storage at multiple sites. the report captures knowledge gained from the process, progress and findings of the research that is applicable to the development of any multi-user storage resource.this report is the technical output from work package 4, knowledge capture and reporting, from the co2multistore project. work package 1 of the project identified possible issues and potential concerns to the secure containment of co2 by the interaction between two or more geological storage sites within a deeply buried sandstone of regional extent. reduction of possible issues and mitigation of perceived concerns were investigated in work package 2 by static geological, dynamic flow and geomechanical modelling of two reasonable and realistic sites within a northern north sea case study of storage in the captain sandstone. work package 3 developed recommendations for a monitoring plan that specifically addresses the uncertainties and threats arising from storage at multiple sites. the report captures knowledge gained from the process, progress and findings of the research that is applicable to the development of any multi-user storage resource",scottish carbon capture and storage (sccs),['https://api.core.ac.uk/v3/data-providers/39'],"[{'name': 'Akhurst, Maxine C'}, {'name': 'Mallows, Tom'}, {'name': 'Pearce, Jonathan M'}]",assessing interactions between multiple geological co₂ storage sites: generic learning from the co₂multistore project,2015,,
2,195862401,,['oai:era.ed.ac.uk:1842/15734'],,,"co2-eor is a possible means to produce incremental oil from active oil fields. in the ongoing climate change debate, it is also welcomed as a business case for geological storage of co2 (co2 capture and storage, ccs). the possibility for applying this technology in the north sea has been under discussion for several years, but the high cost and financial risk have hampered its deployment until today.
using the techno-economic simulator pss iv, potential co2-eor projects can be evaluated in a realistic way, considering technological, policy-related, economic and geological uncertainties using monte-carlo calculations. for the current study, around 450 to 750 mc runs were performed (lower for the cluster, and depending on the field and scenario), which is considered to produce results in sufficient detail for the current set-up. this number is mainly limited by computing performance. pss iv includes a unique feature, in that it makes project evaluations considering incomplete information about the future. next to its standard monte-carlo methodology, where stochastic parameter values are changed slightly every calculation, a second level of monte-carlo calculations and stochastic parameters are used for creating an outlook towards the future. this methodology is called “limited foresight”, which produces near- optimal investment decisions. this is considered more realistic compared to an optimisation model, where actions are taken based on a perfect forecast of the future. this methodology is combined with real options analysis, to include the value of having future project flexibility.co2-eor is a possible means to produce incremental oil from active oil fields. in the ongoing climate change debate, it is also welcomed as a business case for geological storage of co2 (co2 capture and storage, ccs). the possibility for applying this technology in the north sea has been under discussion for several years, but the high cost and financial risk have hampered its deployment until today.
 using the techno-economic simulator pss iv, potential co2-eor projects can be evaluated in a realistic way, considering technological, policy-related, economic and geological uncertainties using monte-carlo calculations. for the current study, around 450 to 750 mc runs were performed (lower for the cluster, and depending on the field and scenario), which is considered to produce results in sufficient detail for the current set-up. this number is mainly limited by computing performance. pss iv includes a unique feature, in that it makes project evaluations considering incomplete information about the future. next to its standard monte-carlo methodology, where stochastic parameter values are changed slightly every calculation, a second level of monte-carlo calculations and stochastic parameters are used for creating an outlook towards the future. this methodology is called “limited foresight”, which produces near- optimal investment decisions. this is considered more realistic compared to an optimisation model, where actions are taken based on a perfect forecast of the future. this methodology is combined with real options analysis, to include the value of having future project flexibility",scottish carbon capture and storage (sccs),['https://api.core.ac.uk/v3/data-providers/39'],"[{'name': 'Welkenhuysen, Kris'}, {'name': 'Meyvis, Bruno'}, {'name': 'Piessens, Kris'}]",techno-economic evaluation of co₂-eor in the north sea,2015,,
3,196029502,,['oai:era.ed.ac.uk:1842/15727'],,,"transport of carbon dioxide (co2) by ship may fulfil a key role in the development of carbon capture and storage (ccs), particularly for co2-enhanced oil recovery (eor) in the north sea where a flexible transport system may be advantageous. shipping of liquefied co2 already occurs, albeit at a limited scale, to service the industrial gases market. use of shipping to supply early-phase co2-eor projects may bring benefits including the flexibility to use equipment in several projects, ability to collect from existing industrial sources and moderate capital costs compared to new pipelines. a number of studies have focussed on use of shipping for co2 transport in the context of ccs; this work package has assessed the available literature, reviewed appropriate studies in detail and summarises in this report the main points of note for co2-eor interests.
the purpose of the work package is detailed in the scoping document, attached as appendix 1. the key aims are to:
￼1.1
• •
determine the extent and scope of literature on transport of co2 by ship;
review a selection of available literature to extract and report the key findings of interest for co2-eor, with a focus on options for loading/offloading and comparative costs against other transport modes.transport of carbon dioxide (co2) by ship may fulfil a key role in the development of carbon capture and storage (ccs), particularly for co2-enhanced oil recovery (eor) in the north sea where a flexible transport system may be advantageous. shipping of liquefied co2 already occurs, albeit at a limited scale, to service the industrial gases market. use of shipping to supply early-phase co2-eor projects may bring benefits including the flexibility to use equipment in several projects, ability to collect from existing industrial sources and moderate capital costs compared to new pipelines. a number of studies have focussed on use of shipping for co2 transport in the context of ccs; this work package has assessed the available literature, reviewed appropriate studies in detail and summarises in this report the main points of note for co2-eor interests.
the purpose of the work package is detailed in the scoping document, attached as appendix 1. the key aims are to:
determine the extent and scope of literature on transport of co2 by ship;
review a selection of available literature to extract and report the key findings of interest for co2-eor, with a focus on options for loading/offloading and comparative costs against other transport modes",scottish carbon capture and storage (sccs),['https://api.core.ac.uk/v3/data-providers/39'],"[{'name': 'Brownsort, Peter'}]",ship transport of co₂ for enhanced oil recovery - literature survey,2015,,
4,196517617,,['oai:era.ed.ac.uk:1842/16481'],,,"the european commission has made funding available for identified projects of common interest (pci) in energy infrastructure through its connecting europe facility (european commission, 2015a). a project of common interest is a project necessary to implement the energy infrastructure priority corridors and thematic areas defined by the european parliament; one priority thematic area is cross-border transport of co2 for ccs (european parliament, 2013).
the identification and selection of pcis for inclusion in the list of supported projects is made by regional or thematic groups consisting of the commission, relevant member states and project promoters. a thematic group for co2 transport is currently being created (mid-2015), and criteria for project selection are being discussed.
to inform this process the present document gives an overview of co2 transport concepts and projects for ccs that have been proposed or assessed to date for the north sea and wider european region.the european commission has made funding available for identified projects of common interest (pci) in energy infrastructure through its connecting europe facility (european commission, 2015a). a project of common interest is a project necessary to implement the energy infrastructure priority corridors and thematic areas defined by the european parliament; one priority thematic area is cross-border transport of co2 for ccs (european parliament, 2013).
the identification and selection of pcis for inclusion in the list of supported projects is made by regional or thematic groups consisting of the commission, relevant member states and project promoters. a thematic group for co2 transport is currently being created (mid-2015), and criteria for project selection are being discussed.
to inform this process the present document gives an overview of co2 transport concepts and projects for ccs that have been proposed or assessed to date for the north sea and wider european region",scottish carbon capture and storage (sccs),['https://api.core.ac.uk/v3/data-providers/39'],"[{'name': 'Brownsort, Peter'}, {'name': 'Scott, Vivian'}, {'name': 'Sim, Gordon'}]",carbon dioxide transport plans for carbon capture and storage in the north sea region - a summary of existing studies and proposals applicable to the development of projects of common interest,2015,,
5,245999522,,['oai:era.ed.ac.uk:1842/15698'],,,"this paper concerns the energy bill, which starts its committee stages in the lords on monday 7th september and wednesday 9th september 2015. the bill is mainly tasked to create the oga (oil and gas authority). in addition the bill creates responsibilities for the oga regarding carbon capture and storage (ccs) licensing.
most importantly, the bill raises the opportunity for a discussion of how the envisaged development of ccs will be paid for. at present, the funding model involves significant taxpayer support through the ccs competition and levy control framework on electricity. we make a simple proposal that would remove this burden of government support, and spread the cost of ccs development and deployment across the entire fossil fuel sector through a certificate scheme that would rely only on data already reported to government and the oga, thus minimising the costs of compliance.this paper concerns the energy bill, which starts its committee stages in the lords on monday 7th september and wednesday 9th september 2015. the bill is mainly tasked to create the oga (oil and gas authority). in addition the bill creates responsibilities for the oga regarding carbon capture and storage (ccs) licensing.
most importantly, the bill raises the opportunity for a discussion of how the envisaged development of ccs will be paid for. at present, the funding model involves significant taxpayer support through the ccs competition and levy control framework on electricity. we make a simple proposal that would remove this burden of government support, and spread the cost of ccs development and deployment across the entire fossil fuel sector through a certificate scheme that would rely only on data already reported to government and the oga, thus minimising the costs of compliance",scottish carbon capture and storage (sccs),['https://api.core.ac.uk/v3/data-providers/39'],"[{'name': 'Haszeldine, R Stuart'}, {'name': 'Allen, Myles'}, {'name': 'Hepburn, Cameron'}, {'name': 'Le Quéré, Corinne'}, {'name': 'Millar, Richard'}]","certificates for ccs at reduced public cost: securing the uk's energy and climate future, energy bill 2015",2015,,
6,26083616,,['oai:eprints.gla.ac.uk:102311'],10.1016/j.energy.2014.11.081,research,"china is now the world's largest user of coal, and also has the highest greenhouse gas emissions associated with the mining and use of coal. in the mining sector, the interests of workforce safety coincide with those of ghg (greenhouse gas) management. while the traditional approach to ensuring workforce safety in coal mines was simply to vent the hazardous gases to the atmosphere, thus increasing ghg emissions, recent innovations have seen elements of ccs (carbon capture and storage) being used to simultaneously ensure workforce safety and minimization of ghg emissions. the haishiwan coalfield represents a particularly challenging environment for applying this approach, as the coal-bearing strata host both oil shales and a naturally-occurring co2 reservoir, disturbance of which could both imperil workers and lead to elevated ghg emissions. a low-carbon, ccs-based model of gas management developed in the haishiwan coalfield offers attractive lessons for application to other coal mines, within and beyond china. this approach achieves multiple benefits: energy production, enhanced workforce safety and minimization of ghg emissions. given the extreme nature of the haishiwan case, it ought to be even easier to implement these approaches elsewhere",elsevier,"['https://api.core.ac.uk/v3/data-providers/8278', 'https://api.core.ac.uk/v3/data-providers/42']","[{'name': 'Li, Wei'}, {'name': 'Younger, Paul L.'}, {'name': 'Cheng, Yuanping'}, {'name': 'Zhang, Baoyong'}, {'name': 'Zhou, Hongxing'}, {'name': 'Liu, Qingquan'}, {'name': 'Dai, Tao'}, {'name': 'Kong, Shengli'}, {'name': 'Jin, Kan'}, {'name': 'Yang, Qualin'}]","addressing the co<sub>2</sub> emissions of the world's largest coal producer and consumer: lessons from the haishiwan coalfield, china",2015,,
7,20888166,,"['oai:epub.wupperinst.org:6199', 'oai:doaj.org/article:b8e363c78f0746cc81f3cf26090b48d4']",10.3390/en81212432,research,"this article presents an integrated assessment conducted in order to explore whether carbon capture and storage (ccs) could be a viable technological option for significantly reducing future co2 emissions in south africa. the methodological approach covers a commercial availability analysis, an analysis of the long-term usable co2 storage potential (based on storage capacity assessment, energy scenario analysis and source-sink matching), an economic and ecological assessment and a stakeholder analysis. the findings show, that a reliable storage capacity assessment is needed, since only rough figures concerning the effective capacity currently exist. further constraints on the fast deployment of ccs may be the delayed commercial availability of ccs, significant barriers to increasing the economic viability of ccs, an expected net maximum reduction rate of the power plant's greenhouse gas emissions of 67%-72%, an increase in other environmental and social impacts, and low public awareness of ccs. one precondition for opting for ccs would be to find robust solutions to these constraints, taking into account that ccs could potentially conflict with other important policy objectives, such as affordable electricity rates to give the whole population access to electricity",mdpi ag,"['https://api.core.ac.uk/v3/data-providers/4786', 'https://api.core.ac.uk/v3/data-providers/645', 'https://api.core.ac.uk/v3/data-providers/847']","[{'name': 'Peter Viebahn'}, {'name': 'Daniel Vallentin'}, {'name': 'Samuel Höller'}, {'name': 'Guinée'}, {'name': 'Cloete'}, {'name': 'Viljoen'}, {'name': 'Kulichenko'}, {'name': 'Tot'}, {'name': 'Hughes'}, {'name': 'Minchener'}, {'name': 'Blignaut'}, {'name': 'Newbery'}, {'name': 'Finkenrath'}, {'name': 'Viebahn'}, {'name': 'Eberhard'}, {'name': 'Glazewski'}, {'name': 'Viebahn'}, {'name': 'Viebahn'}, {'name': 'Altieri'}]",integrated assessment of carbon capture and storage (ccs) in south africa's power sector,2015,,['1996-1073']
8,30787061,,['oai:hal:hal-01274204v1'],,research,"latin america presents important energy resources and a relatively low level of co 2 emissions. energy needs increase and are expected to increase more and more with the objective of development and of energy access. moreover, latin america is already impacted by climate change with, for example, first snow, inundation, etc. so to evolve his development in sustainable manner, low carbon strategy has to be developed. this paper focuses on long term analysis of energy climate issues in latin america and particularly studies the impact of climate policy on its energy system. solutions to tend toward a decarbonized system are analyzed and a focus is made on biomass with carbon capture and storage (beccs). notably, an interesting result is the fact that, while the carbon capture and storage option is favored in case of bioplants development, appearing as a first climate-protect option, this is not the case with fossil power plants, and renewables development is preferred, even when beccs is "" excluded "" ",hal ccsd,['https://api.core.ac.uk/v3/data-providers/1529'],"[{'name': 'Selosse, Sandrine'}, {'name': 'Postic, Sébastien'}, {'name': 'Maïzi, Nadia'}]",energy issue in latin america face climate challenges - a long-term analysis with tiam-fr,2015,,
9,83031247,,['oai:ojs.localhost:article/26804'],,,"climate change is a fact of life. this has resulted in increased efforts to develop new technologies that will help mitigate this phenomenon. it is against this backdrop that carbon capture and storage (ccs) technology attracted a lot of interest as an option that can help capture co2 in large quantities from fossil fuel plants and store it underground to prevent it from escaping into the atmosphere. the study seeks to assess the legal and regulatory frameworks for effective deployment of the ccs technology as a climate change mitigation measure. secondary data in a form of books, articles, journals and other legal documents were used as the basis for qualitative analysis. the paper found out that though there are available some national and international legal instruments, some pertinent issues such as the long term liability, costs, environmental, legal, definition and classification of co2, access and property rights as well as an intellectual property rights need to be addressed before carbon capture and storage technology can be deployed effectively as a climate change mitigation option. keywords: carbon dioxide capture and storage, climate change mitigation, legal and regulatory framewor",journal of energy technologies and policy,['https://api.core.ac.uk/v3/data-providers/12431'],"[{'name': 'Luki, Bayuasi Nammei'}, {'name': 'Abubakar, Nusrat-Jahan'}]",carbon dioxide capture and storage (css) technology as a climate change mitigation option: what are the legal and regulatory frameworks for its deployment?,2015,,
