,id,openDoarId,name,email,valid,error
0,39,463,Edinburgh Research Archive,scholcomms@ed.ac.uk,True,
1,8278,N/A,N/A,N/A,False,404
2,42,162,Enlighten,william.nixon@glasgow.ac.uk,True,
3,4786,,Crossref,,True,
4,645,,Directory of Open Access Journals,,True,
5,847,,"Publikationsserver des Wuppertal Instituts für Klima, Umwelt, Energie",,True,
6,1529,3214,HAL-MINES ParisTech,,True,
7,12431,,"International Institute for Science, Technology and Education (IISTE): E-Journals",,True,
8,2610,,Elsevier - Publisher Connector ,,True,
9,178,,DSpace@MIT,,True,
10,1949,1619,Repositório Científico da Universidade de Évora,,True,
11,4657,,Repository@Hull - CRIS,C.Awre@hull.ac.uk,True,
12,2654,,University of St. Andrews - Pure,open-access-support@st-andrews.ac.uk,True,
13,95,901,St Andrews Research Repository,open-access-support@st-andrews.ac.uk,True,
14,693,363,OPUS - University of Technology Sydney,Scott.Abbott@uts.edu.au,True,
15,14527,,European Scientific Journal (European Scientific Institute),,True,
16,23,,Cranfield CERES,library@cranfield.ac.uk,True,
17,973,N/A,N/A,N/A,False,500
18,102,942,Sheffield Hallam University Research Archive,shura@shu.ac.uk,True,
19,105,1032,Spiral - Imperial College Digital Repository,j.murtagh@imperial.ac.uk,True,
20,108,305,Surrey Research Insight,openresearch@surrey.ac.uk,True,
21,131,291,University of Strathclyde Institutional Repository,openaccesspublications@strath.ac.uk,True,
22,416,2386,OceanRep,,True,
23,79,1002,NERC Open Research Archive,,True,
24,80,226,Nottingham ePrints,eprints@nottingham.ac.uk,True,
25,11026,N/A,N/A,N/A,False,404
26,4787,,Repository@Nottingham,Jonathan.Green@nottingham.ac.uk,True,
27,904,791,Publikationsserver der RWTH Aachen University,,True,
28,1005,1874,MPG.PuRe,,True,
29,551,,Repositório Institucional da UFSC,,True,
30,2151,,ScholarWorks@UNIST,,True,
31,27,,Apollo,support@repository.cam.ac.uk,True,
32,2912,N/A,N/A,N/A,False,404
33,13919,,The Research Repository @ WVU (West Virginia University),,True,
34,1535,2755,HAL-Rennes 1,,True,
35,10784,,UTPedia,,True,
36,504,956,Open Research Exeter,openaccess@exeter.ac.uk,True,
37,140,,White Rose Research Online,eprints@whiterose.ac.uk,True,
38,624,N/A,N/A,N/A,False,404
39,3175,N/A,N/A,N/A,False,404
40,66,N/A,N/A,N/A,False,404
41,2793,,The Australian National University,elke.dawson@anu.edu.au,True,
42,949,,Institutional repository of Ural Federal University named after the first President of Russia B.N.Yeltsin,Alexander.Efimov@urfu.ru,True,
43,2274,,Universidade do Minho: RepositoriUM,,True,
44,525,1202,Online Research Database In Technology,cton@dtu.dk,True,
45,2612,,Springer - Publisher Connector,,True,
46,713,3099,Analysis and Policy Observatory (APO),alawrence@swin.edu.au,True,
47,896,,University of Malaya Students Repository,,True,
48,33,,Durham Research Online,dro.admin@durham.ac.uk,True,
49,658,,Heriot Watt Pure,ros@hw.ac.uk,True,
50,11185,,Repository for Publications and Research Data,,True,
51,767,3535,International Institute for Applied Systems Analysis (IIASA),kirwan@iiasa.ac.at,True,
52,647,,Edinburgh Research Explorer,scholcomms@ed.ac.uk,True,
53,2432,,Neliti,,True,
54,179,99,DigitalCommons@University of Nebraska,,True,
55,961,1739,JRC Publications Repository,,True,
56,1586,N/A,N/A,N/A,False,404
57,715,,NORA - Norwegian Open Research Archives,,True,
58,496,185,Infoscience - École polytechnique fédérale de Lausanne,,True,
59,118,,UCL Discovery,open-access@ucl.ac.uk,True,
60,9035,,OpenEdition,referencement@openedition.org,True,
61,15042,,eGrove (Univ. of Mississippi),,True,
62,4653,,Newcastle University eTheses,,True,
63,922,276,Research Online,,True,
64,83,55,Online Research @ Cardiff,openaccess@cardiff.ac.uk,True,
65,7870,N/A,N/A,N/A,False,404
66,392,,Universiti Teknologi Malaysia Institutional Repository,,True,
67,2614,,Frontiers - Publisher Connector,,True,
68,452,1567,Universiti Putra Malaysia Institutional Repository,,True,
69,351,2153,PORTO Publications Open Repository TOrino,,True,
70,8515,,EDP Sciences OAI-PMH repository (1.2.0),,True,
71,7745,,Enlighten: Theses,,True,
72,4083,N/A,N/A,N/A,False,404
73,1063,3631,Agritrop,,True,
74,1016,3547,CGSpace,,True,
75,1516,3512,HAL-CIRAD,,True,
76,1510,3379,HAL Descartes,,True,
77,286,2642,Explore Bristol Research,open-access@bristol.ac.uk,True,
78,3681,,Texas A&M University School of Law,,True,
79,1534,3524,HAL-Polytechnique,,True,
80,144,,arXiv.org e-Print Archive,,True,
81,1030,1272,SSOAR - Social Science Open Access Repository ,,True,
82,708,N/A,N/A,N/A,False,404
83,816,1131,Lirias,,True,
84,182,298,Texas A&amp;M Repository,,True,
85,3767,N/A,N/A,N/A,False,404
86,222,1364,UT Digital Repository,,True,
87,13742,,International Hellenic University: IHU Open Access Repository,,True,
88,2140,,Savoirs UdeS,,True,
89,810,3364,Juelich Shared Electronic Resources,,True,
90,198,487,Illinois Digital Environment for Access to Learning and Scholarship Repository,,True,
91,7595,N/A,N/A,N/A,False,404
92,1518,2784,HAL-Ecole des Ponts ParisTech,,True,
93,632,,ROS: The Research Output Service. Heriot-Watt University Edinburgh ,ros@hw.ac.uk,True,
94,3464,,Fordham University School of Law,,True,
95,980,1690,University of Debrecen Electronic Archive,,True,
96,559,575,University of Queensland eSpace,,True,
97,3628,N/A,N/A,N/A,False,404
98,88,1064,Oxford University Research Archive,ora@bodleian.ox.ac.uk,True,
99,3338,,Valparaiso University,,True,
100,11094,N/A,N/A,N/A,False,404
101,3479,,University of Kentucky,,True,
102,11926,,The University of Utah: J. Willard Marriott Digital Library,,True,
103,5702,4481,Scholar Commons - Institutional Repository of the University of South Carolina,,True,
104,109,2384,Sussex Research Online,research@sussex.ac.uk,True,
105,67,,LSE Research Online,lseresearchonline@lse.ac.uk,True,
106,1213,2000,Chalmers Publication Library,,True,
107,585,202,Leiden University Scholary Publications,,True,
108,138,936,WestminsterResearch,repository@westminster.ac.uk,True,
109,3614,,University of Richmond,,True,
110,3607,,Marshall University,,True,
111,129,1292,University of Liverpool Repository,openaccess@liverpool.ac.uk,True,
112,289,,Queen's University Research Portal,openaccess@qub.ac.uk,True,
113,213,11,Archive of European Integration,oscp@mail.pitt.edu,True,
114,1826,3371,NILU Brage,,True,
115,725,482,Heidelberger Dokumentenserver,,True,
116,1947,1406,Repositório Aberto da Universidade do Porto,,True,
117,906,,Digital.CSIC,,True,
118,555,1593,Helsingin yliopiston digitaalinen arkisto,,True,
119,5475,3596,KITopen,,True,
120,15104,,IntechOpen,,True,
121,830,232,Open Marine Archive,,True,
122,5595,4223,UTUPub,,True,
123,3751,,The University of Mississippi,,True,
124,1958,1437,Repositório da Universidade Nova de Lisboa,,True,
125,2821,N/A,N/A,N/A,False,404
126,2226,60,Thèses en Ligne,,True,
127,1070,N/A,N/A,N/A,False,404
128,1001,2045,Research Online @ ECU,,True,
129,146,,City Research Online,publications@city.ac.uk,True,
130,373,2499,University of the South Pacific Electronic Research Repository,,True,
131,139,1407,White Rose E-theses Online,etheses@whiterose.ac.uk,True,
132,12678,,UND Scholarly Commons (University of North Dakota),,True,
133,1643,,IssueLab,lisa.brooks@candid.org,True,
134,166,2173,Edge Hill University Research Information Repository,REFcompliance@edgehill.ac.uk,True,
135,385,,Epsilon Open Archive,,True,
136,48,1275,Glasgow Theses Service,William.Nixon@glasgow.ac.uk,True,
137,3445,,"Scholarship, Research, and Creative Work at Bryn Mawr College | Bryn Mawr College Research",,True,
138,2328,1266,VBN,,True,
139,2306,,University of Waterloo's Institutional Repository,,True,
140,987,1189,National Library of Finland DSpace Services,,True,
141,1011,,UPCommons. Portal del coneixement obert de la UPC,,True,
142,2255,1496,TUT DPub,,True,
143,603,2319,IDS OpenDocs,,True,
144,1,1767,Aberdeen University Research Archive,aura.deposit@abdn.ac.uk,True,
145,10782,N/A,N/A,N/A,False,404
146,14859,4853,Trepo - Institutional Repository of Tampere University,,True,
147,11038,N/A,N/A,N/A,False,404
148,315,,ASU Digital Repository,,True,
149,3203,189,University of Groningen,,True,
150,4580,N/A,N/A,N/A,False,404
151,807,3363,IRIHS - Institutional Repository at IHS,,True,
152,8397,N/A,N/A,N/A,False,404
153,1784,,MACAU: Open Access Repository of Kiel University,,True,
