Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Wang, J., Wang, Y., Li, H., Yang, H., Li, Z.","56380147600;57193682847;57196034827;57201364663;57761875400;","Ensemble forecasting system based on decomposition-selection-optimization for point and interval carbon price prediction",2023,"Applied Mathematical Modelling","113",,,"262","286",,,"10.1016/j.apm.2022.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138453664&doi=10.1016%2fj.apm.2022.09.004&partnerID=40&md5=dd471f3b3194b94d7095b45af9138cd5",Article,"Final","",Scopus,2-s2.0-85138453664
"Aslan, A., Posch, P.N.","57226761955;47061647000;","Does carbon price volatility affect European stock market sectors? A connectedness network analysis",2022,"Finance Research Letters","50",,"103318","","",,,"10.1016/j.frl.2022.103318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138199519&doi=10.1016%2fj.frl.2022.103318&partnerID=40&md5=e01e5573f37711fd60e8f05c5c744ecb",Article,"Final","",Scopus,2-s2.0-85138199519
"Dolphin, G., Xiahou, Q.","57216359979;57894256900;","World carbon pricing database: sources and methods",2022,"Scientific Data","9","1","573","","",,,"10.1038/s41597-022-01659-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138147885&doi=10.1038%2fs41597-022-01659-x&partnerID=40&md5=d7d9862064e56cf3f74c73fc1692c9a0",Data Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85138147885
"Fang, M., Xiang, Y., Li, J.","57423968200;55184845300;57219626518;","Locational electricity–carbon price model: Design and analysis",2022,"Energy Reports","8",,,"721","728",,,"10.1016/j.egyr.2022.05.229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131918239&doi=10.1016%2fj.egyr.2022.05.229&partnerID=40&md5=20a0c88cbe4fb36e872fd073d07314b6",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85131918239
"Li, G., Zheng, C., Yang, H.","57202317400;57403069800;36142414800;","Carbon price combination prediction model based on improved variational mode decomposition",2022,"Energy Reports","8",,,"1644","1664",,4,"10.1016/j.egyr.2021.11.270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122423411&doi=10.1016%2fj.egyr.2021.11.270&partnerID=40&md5=8e89e3a2e747a7ac50064872000e6c05",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122423411
"Qi, S., Cheng, S., Tan, X., Feng, S., Zhou, Q.","56304640100;57218657095;57189663753;57192099075;57843754100;","Predicting China's carbon price based on a multi-scale integrated model",2022,"Applied Energy","324",,"119784","","",,,"10.1016/j.apenergy.2022.119784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135908749&doi=10.1016%2fj.apenergy.2022.119784&partnerID=40&md5=321fb2763c73d88bf6707b9101070e8a",Article,"Final","",Scopus,2-s2.0-85135908749
"Li, M., Gao, H., Abdulla, A., Shan, R., Gao, S.","55295780400;57807539600;55188482400;57214882849;57221951019;","Combined effects of carbon pricing and power market reform on CO2 emissions reduction in China's electricity sector",2022,"Energy","257",,"124739","","",,,"10.1016/j.energy.2022.124739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134308952&doi=10.1016%2fj.energy.2022.124739&partnerID=40&md5=55503cd8599759c007ecbd791ae66681",Article,"Final","",Scopus,2-s2.0-85134308952
"Jacobs, L., Quack, L., Mechtel, M.","57190254628;57203461721;46861455400;","Distributional effects of carbon pricing by transport fuel taxation",2022,"Energy Economics","114",,"106290","","",,,"10.1016/j.eneco.2022.106290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138059532&doi=10.1016%2fj.eneco.2022.106290&partnerID=40&md5=f943fe7f1d5c5b010ecea5762d826b33",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85138059532
"Lin, B., Zhang, C.","35098935000;57194902263;","Forecasting carbon price in the European carbon market: The role of structural changes",2022,"Process Safety and Environmental Protection","166",,,"341","354",,,"10.1016/j.psep.2022.08.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136592105&doi=10.1016%2fj.psep.2022.08.011&partnerID=40&md5=e0e80743d6477edd38b08ee2dad2d6fc",Article,"Final","",Scopus,2-s2.0-85136592105
"Trinks, A., Mulder, M., Scholtens, B.","57201446039;55609230700;17344623500;","External carbon costs and internal carbon pricing",2022,"Renewable and Sustainable Energy Reviews","168",,"112780","","",,,"10.1016/j.rser.2022.112780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136586123&doi=10.1016%2fj.rser.2022.112780&partnerID=40&md5=24026f683340e56a238176cb25410b3f",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85136586123
"Ohlendorf, N., Flachsland, C., Nemet, G.F., Steckel, J.C.","57218876993;26430741100;14062489100;35759880900;","Carbon price floors and low-carbon investment: A survey of German firms",2022,"Energy Policy","169",,"113187","","",,,"10.1016/j.enpol.2022.113187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136518573&doi=10.1016%2fj.enpol.2022.113187&partnerID=40&md5=4d7bc022f6ea436dd958058b48d8397e",Article,"Final","",Scopus,2-s2.0-85136518573
"Chen, H., Xu, C.","57772483200;57773174400;","The impact of cryptocurrencies on China's carbon price variation during COVID-19: A quantile perspective",2022,"Technological Forecasting and Social Change","183",,"121933","","",,,"10.1016/j.techfore.2022.121933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135726498&doi=10.1016%2fj.techfore.2022.121933&partnerID=40&md5=ff98e97cb2ad3aebce7ef5570642836a",Article,"Final","",Scopus,2-s2.0-85135726498
"Chen, J., Zhang, J.","57880440600;57879856300;","Effect Mechanism Research of Carbon Price Drivers in China—A Case Study of Shenzhen",2022,"International Journal of Environmental Research and Public Health","19","17","10876","","",,,"10.3390/ijerph191710876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137555458&doi=10.3390%2fijerph191710876&partnerID=40&md5=72f1d1757b50699cc09c7f640744ab75",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85137555458
"Wang, P., Liu, J., Tao, Z., Chen, H.","57209399224;49961816800;55263894400;24471360000;","A novel carbon price combination forecasting approach based on multi-source information fusion and hybrid multi-scale decomposition",2022,"Engineering Applications of Artificial Intelligence","114",,"105172","","",,,"10.1016/j.engappai.2022.105172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134820165&doi=10.1016%2fj.engappai.2022.105172&partnerID=40&md5=f247e069f18be9607f93b4cb4511c315",Article,"Final","",Scopus,2-s2.0-85134820165
"Aldy, J.E., Armitage, S.","6506765346;57704650500;","The Welfare Implications of Carbon Price Certainty",2022,"Journal of the Association of Environmental and Resource Economists","9","5",,"921","946",,,"10.1086/720768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133171289&doi=10.1086%2f720768&partnerID=40&md5=36079e29297d24c452fda550a6112841",Article,"Final","",Scopus,2-s2.0-85133171289
"Santos, G.","7102014634;","Climate change policy and carbon pricing",2022,"Energy Policy","168",,"112985","","",,,"10.1016/j.enpol.2022.112985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132756479&doi=10.1016%2fj.enpol.2022.112985&partnerID=40&md5=8feea207bb8f57f3fc1fe193adaa9500",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85132756479
"Rontard, B., Reyes Hernández, H.","57385592600;25522649800;","Political construction of carbon pricing: Experience from New Zealand emissions trading scheme",2022,"Environmental Development","43",,"100727","","",,2,"10.1016/j.envdev.2022.100727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129696061&doi=10.1016%2fj.envdev.2022.100727&partnerID=40&md5=1ddd0618c351be491d1941382d893a3d",Article,"Final","",Scopus,2-s2.0-85129696061
"Zhou, J., Xu, Z., Wang, S.","36148946200;57392703100;57216215706;","A novel hybrid learning paradigm with feature extraction for carbon price prediction based on Bi-directional long short-term memory network optimized by an improved sparrow search algorithm",2022,"Environmental Science and Pollution Research","29","43",,"65585","65598",,,"10.1007/s11356-022-20450-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129051932&doi=10.1007%2fs11356-022-20450-4&partnerID=40&md5=014ed1d78c6711020afc6a6e120394a1",Article,"Final","",Scopus,2-s2.0-85129051932
"Li, M.-F., Hu, H., Zhao, L.-T.","57199161049;57646481900;50662424700;","Key factors affecting carbon prices from a time-varying perspective",2022,"Environmental Science and Pollution Research","29","43",,"65144","65160",,,"10.1007/s11356-022-20376-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128914988&doi=10.1007%2fs11356-022-20376-x&partnerID=40&md5=47a020c5956aee97c2dc99d1e275d5b7",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85128914988
"Ko, I., Lee, T.","57316160200;55762327000;","Carbon pricing and decoupling between greenhouse gas emissions and economic growth: A panel study of 29 European countries, 1996–2014",2022,"Review of Policy Research","39","5",,"654","673",,1,"10.1111/ropr.12458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118197733&doi=10.1111%2fropr.12458&partnerID=40&md5=9831795dbab88c79f541a2cd8349ddc9",Article,"Final","",Scopus,2-s2.0-85118197733
"Raghoo, P., Shah, K.U.","57193163274;23096358800;","A global empirical analysis on the diffusion &amp; innovation of carbon pricing policies",2022,"Journal of Cleaner Production","362",,"132329","","",,,"10.1016/j.jclepro.2022.132329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131418872&doi=10.1016%2fj.jclepro.2022.132329&partnerID=40&md5=1748545cfe32880ba331a250ded5774c",Article,"Final","",Scopus,2-s2.0-85131418872
