"corpus_id","doi","mag_id","title","publication_year","citation_count","abstract","query_set"
"102171799","10.1021/IE5020487","2328905923","Low Carbon Iron-making Supply Chain Planning in Steel Industry","2014","3","This paper investigates a new low carbon iron-making supply chain planning problem in the steel industry under the carbon cap and trade mechanism, in which a steel company uses carbon emission quota to produce iron to meet determined demands over the planning horizon, and buys or sells the rights to emit carbon in the carbon trading market. The problem decides optimal carbon trade, raw material purchasing, raw materials and sinters inventory levels, as well as sintering and iron making production schemes, so as to minimize the total cost. A novel mixed integer programming model incorporating carbon emission reduction into operational decision making is developed and we propose a branch and price algorithm to solve it. The model is decomposed equally into a master problem and two subproblems. The branch and price algorithm is enhanced by two tailored techniques. First, the relaxation of the master problem is strengthened by introducing two families of valid inequalities. Second, we use a dynamic programming procedure to eliminate variables by path reduced cost. We test our algorithm on randomly generated data that simulate the practical production, and the computational results over the instances illustrate the effectiveness of the proposed algorithm. In addition, we derive the optimal operational decisions, and examine the impacts of carbon cap and carbon price analytically and numerically on total cost and carbon emissions. We make interesting observations based on numerical results and provide managerial insight to highlight the opportunity to reduce carbon emissions.","[""abstract""]"
"10217531","10.1002/2016EF000492","2795904419","Emission pathways to achieve 2.0°C and 1.5°C climate targets","2017","26","We investigated the feasibilities of 2.0°C and 1.5°C climate targets by considering the abatement potentials of a full suite of greenhouse gases, pollutants, and aerosols. We revised the inter‐temporal dynamic optimization model DICE‐2013R by introducing three features as follows. First, we applied a new marginal abatement cost curve derived under moderate assumptions regarding future socioeconomic development—the Shared Socioeconomic Pathways 2 (SSP2) scenario. Second, we addressed emission abatement for not only industrial CO2 but also land‐use CO2, CH4, N2O, halogenated gases, CO, volatile organic compounds, SOx, NOx, black carbon and organic carbon. Third, we improved the treatment of the non‐CO2 components in the climate module based on MAGICC 6.0. We obtained the following findings: (1) It is important to address the individual emissions in an analysis of low stabilization scenarios because abating land‐use CO2, non‐CO2 and aerosol emissions also contributes to maintaining a low level of radiative forcing and substantially affects the climate costs. (2) The 2.0°C target can be efficiently reached under the assumptions of the SSP2 scenario. (3) The 1.5°C target can be met with early deep cuts under the assumption of a temperature overshoot, and it will triple the carbon price and double the mitigation cost compared with the 2.0°C case.","[""abstract""]"
"10229585","10.1109/IEEM.2010.5674422","1981731204","A decision analysis on the optimal timing under the uncertain cost of urban logistics","2010","0","This paper applies the real options approach to sort out the carbon management strategies for an urban logistics corporation to reduce the carbon emission, and measures the potential gain or loss under the green logistics cost concept. Hence, the paper divides different corporation-level investing circumstances into three stages (i.e., no other change stage, carbon offset stage, and internal system upgrade stage), and the proposed model tries to point out the threshold of the stage switching, which can be evaluated by the optimal timing under the uncertain carbon price. It also can obtain the potential benefit from strategy execution which is measured by the determination of the optimal timing and expect the carbon price under the uncertain cost of urban logistics.","[""abstract""]"
"103107008","10.1039/C7EE01987D","2786078174","Relative costs of transporting electrical and chemical energy","2018","25","Transportation costs of energy resources are important when determining the overall economics of future energy infrastructure. The majority of long distance energy transmission occurs via merchant ships and pipelines carrying oil or natural gas. In contrast, future energy scenarios often envision vastly altered energy transportation scenarios including very high degrees of grid electrification and widespread installation of hydrogen pipelines. The unit cost of energy transportation varies by over two orders of magnitude. In particular, the costs of electricity and hydrogen transmission are substantially higher than the cost of oil and natural gas transportation. If carbon pricing is to be used to incentivize alternative energy systems, these differences in costs will need to be reduced and used when making meaningful technology comparisons.","[""abstract""]"
"103829188","10.2139/ssrn.2531807","1570443504","Why Is Spot Carbon so Cheap and Future Carbon So Dear? The Term Structure of Carbon Prices","2014","16","null","[""title""]"
"104347245","10.1002/er.4361","2909773664","Costs of biomass pyrolysis as a negative emission technology: A case study","2019","7","Biomass pyrolysis is a promising method for the creation of biochar, a potentially long‐lived carbon sink, and renewable fuels. While a number of studies of the costs of pyrolysis exist, many fail to value the carbon storage benefit associated with biochar. Here, we evaluate the costs of three types of small‐scale pyrolysis systems (slow and fast, compared with gasification) in Costa Rica. We find that under many combinations of model parameters, fast and slow pyrolysis models are cost‐effective. Net present values are positive for slow pyrolysis at carbon prices above $7 t−1, indicating that a low carbon price is required to make slow pyrolysis cost‐effective. Likewise, fast pyrolysis is cost‐effective at any positive carbon price. Gasification is generally more costly than fast or slow pyrolysis, and the net present value of the gasification system is only positive at electricity prices over $0.15 kWh−1 or carbon prices over $150 t−1. Thus, both fast and slow pyrolysis models are promising methods for atmospheric CO2 reduction.","[""abstract""]"
"104577897","10.15244/PJOES/84871","2895210685","China’s Emissions Trading Scheme:
First Evidence on Pilot Stage","2018","5","Greenhouse gas emissions are a worldwide concern, especially in China, who has become the largest greenhouse gas emitter. In 2013, China initiated pilot emissions trading schemes (ETS) in seven regions with the aim of creating a national system by 2017 to reduce carbon emissions at low cost. We provide a systematic overview of the practice, performance, and problems of China’s ETS pilots during the first stage, which lasted from 2013 to 2016, and highlight some proposals for the forthcoming national system. We depict the features of the pilots by focusing on the core elements of the ETS: scope, cap setting, allocation, MRV, and compliance. The performance of China’s ETS pilots is characterized by low carbon prices with severe temporal fluctuation, and low levels of liquidity with high compliance rates. The problems include over-allocation of emission allowances, inadequate legal and regulatory infrastructure, underdevelopment of the carbon financial market, and poor market transparency. Accordingly, we propose recommendations from the perspective of legislation, cap setting, transparency, price management, and policy coordination. 1","[""abstract""]"
"104927926","10.1021/ACS.IECR.7B04331","2883256960","An Optimization Model To Incorporate CO2 Emissions in the Scheduling of Crude Oil Operations","2018","1","In previous works CO2 emissions in oil refineries have been studied for production unit planning. In this manuscript the associated CO2 mitigation costs are added to the scheduling of crude oil unloading and blending. Numerical simulations executed on literature cases show that the optimal scheduling may be affected, and thus CO2 emissions may be greater than those predicted from production unit planning. Furthermore, the biobjective problem of maximizing profits and minimizing CO2 emissions is studied; pareto-optimal solutions and the lowest carbon pricing that induces the refinery to minimize CO2 emissions are presented for each case.","[""abstract""]"
"106469906","null","644151768","Getting real about decarbonisation involves deploying technologies now and at scale","2012","0","In a recent post, Simon Less argued that the government is muddling up ‘green’ and ‘growth’ policies and suggests we could scrap support for renewable energy in favour of ‘technology neutral’ carbon pricing. Dr Robert Gross, Director of the Centre for Energy Policy and Technology at Imperial College, argues that this is misguided.","[""abstract""]"
"106564653","null","642806530","Air Transport Within Emissions Trading Regime: Network-Based Analysis of United States and India","2008","12","Air transport is one of the fastest growing sources of greenhouse gas emissions but is vital to economic development. In this paper, the Aviation Integrated Model, currently under development at the University of Cambridge, is used to assess the impact of an open emissions trading scheme on the US and Indian air transport systems. The analysis is based on three internally consistent projections of per capita gross domestic product (GDP), population, oil price, and carbon price until 2050. Over this period, relative to a reference case, noticeable reductions in air travel demand, fuel use, CO2 emissions and required airport capacity growth only result in the most stringent scenario of stabilizing the atmospheric CO2 concentration at 450 ppm – an extremely challenging task. The air transport system response would further increase if including non-CO2 emissions from aviation in the trading scheme. This study also finds a different response of the short haul, medium haul, and long haul segments to emissions trading associated with any stringency level. A comparison between the aviation system impacts in the US and India suggests a generally smaller response of the Indian air traffic system to a given CO2 emissions trading scheme.","[""abstract""]"
