Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Ding, B., Makowski, M., Zhao, J., Ren, H., Zakeri, B., Ma, T.","57202549963; 7005868081; 57331060400; 56739771400; 55092009400; 55786524500","Analysis of technology pathway of China's liquid fuel production with consideration of energy supply security and carbon price",2023,"Journal of Management Science and Engineering",8,"1",,1,14,,1,10.1016/j.jmse.2022.07.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140232731&partnerID=40&md5=6e65e6b8cd410191e0f0400c63e78a3f",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85140232731
"Zhang, W., Wu, Z., Zeng, X., Zhu, C.","57218200660; 56039528300; 57947229100; 57947711500","An ensemble dynamic self-learning model for multiscale carbon price forecasting",2023,"Energy",263,"", 125820,,,,,10.1016/j.energy.2022.125820,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140879105&partnerID=40&md5=f10fbf26d5943662f912e1993e753bdb",Article,Final,"",Scopus,2-s2.0-85140879105
"Lin, H., Guo, S., Han, Z., Liu, S., Wang, J., Zou, J.","57352331200; 57224369469; 57190386298; 57200844021; 56692477300; 57811740700","Can biochar application improve the net economic benefits of tea plantations?",2023,"Science of the Total Environment",856,"", 159029,,,,,10.1016/j.scitotenv.2022.159029,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85139043295&partnerID=40&md5=d7b83e5b30e4cb9bae054c58146cca50",Article,Final,"",Scopus,2-s2.0-85139043295
"Liu, L.-L., Feng, T.-T., Kong, J.-J.","57936244300; 36573533300; 57891361300","Can carbon trading policy and local public expenditures synergize to promote carbon emission reduction in the power industry?",2023,"Resources, Conservation and Recycling",188,"", 106659,,,,,10.1016/j.resconrec.2022.106659,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140289497&partnerID=40&md5=fcc034f5ceb687359e080580587f3559",Article,Final,"",Scopus,2-s2.0-85140289497
"Wang, Z., Dong, H., Huang, Z.","56473687600; 57205722113; 55778817500","CARBON SPOT PRICES IN EQUILIBRIUM FRAMEWORKS ASSOCIATED WITH CLIMATE CHANGE",2023,"Journal of Industrial and Management Optimization",19,"2",,961,983,,,10.3934/jimo.2021214,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140041978&partnerID=40&md5=b0a9615e113ebebc0d58f80d2c32651d",Article,Final,"",Scopus,2-s2.0-85140041978
"Zhang, Y., Chen, N., Wang, S., Wen, M., Chen, Z.","57221362655; 7401911971; 57210184340; 57223003130; 23388684400","Will carbon trading reduce spatial inequality? A spatial analysis of 200 cities in China",2023,"Journal of Environmental Management",325,"", 116402,,,,,10.1016/j.jenvman.2022.116402,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85139738074&partnerID=40&md5=10b2447369472b361f61ce42a6da7891",Article,Final,"",Scopus,2-s2.0-85139738074
"Wang, J., Wang, Y., Li, H., Yang, H., Li, Z.","56380147600; 57193682847; 57196034827; 57201364663; 57761875400","Ensemble forecasting system based on decomposition-selection-optimization for point and interval carbon price prediction",2023,"Applied Mathematical Modelling",113,"",,262,286,,,10.1016/j.apm.2022.09.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138453664&partnerID=40&md5=0c83e6b7f5152cf705dce34522c4514c",Article,Final,"",Scopus,2-s2.0-85138453664
"Kang, S.W., Yim, M.-S.","57201271937; 7005922956","Coupled system model analysis for a small modular reactor cogeneration (combined heat and power) application",2023,"Energy",262,"", 125481,,,,,10.1016/j.energy.2022.125481,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138416358&partnerID=40&md5=152533a59212772743dd81a66efd3b92",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85138416358
"Wang, Y., Wang, F.","57190879758; 57204321755","EFFECTS OF THE CARBON CREDITS BUY-BACK POLICY ON MANUFACTURING/REMANUFACTURING DECISIONS OF THE CAPITAL-CONSTRAINED MANUFACTURER",2023,"Journal of Industrial and Management Optimization",19,"1",,594,628,,1,10.3934/jimo.2021198,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85135621358&partnerID=40&md5=8057e514e6f3db4be72089fb8aea51a1",Article,Final,"",Scopus,2-s2.0-85135621358
"Guo, R., Li, L., Chang, C., Di, Z.","57346515400; 57944082900; 57944574700; 57194180070","Steel slag-enhanced reforming process for blue hydrogen production from coke oven gas: Techno-economic evaluation",2022,"Journal of Cleaner Production",379,"", 134778,,,,,10.1016/j.jclepro.2022.134778,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140784449&partnerID=40&md5=11f87a1efaa773ecf5cb322bd5e5a04e",Article,Final,"",Scopus,2-s2.0-85140784449
