publication_year,null_doi,null_title,short_title,null_abstract,short_abstract,corpus_ids
1931,f,f,f,f,f,4183
1931,f,f,f,f,t,2
1931,f,f,f,t,,16564
1931,f,f,t,f,f,7
1931,f,f,t,t,,36
1931,t,f,f,f,f,666
1931,t,f,f,f,t,4
1931,t,f,f,t,,6636
1931,t,f,t,t,,2
1932,f,f,f,f,f,4395
1932,f,f,f,f,t,2
1932,f,f,f,t,,17037
1932,f,f,t,f,f,8
1932,f,f,t,t,,40
1932,t,f,f,f,f,689
1932,t,f,f,f,t,4
1932,t,f,f,t,,6658
1932,t,f,t,t,,4
1933,f,f,f,f,f,4316
1933,f,f,f,f,t,3
1933,f,f,f,t,,16217
1933,f,f,t,f,f,10
1933,f,f,t,t,,27
1933,t,f,f,f,f,768
1933,t,f,f,f,t,2
1933,t,f,f,t,,7148
1933,t,f,t,t,,3
1934,f,f,f,f,f,4579
1934,f,f,f,f,t,2
1934,f,f,f,t,,16750
1934,f,f,t,f,f,3
1934,f,f,t,t,,44
1934,t,f,f,f,f,678
1934,t,f,f,f,t,1
1934,t,f,f,t,,7244
1935,f,f,f,f,f,4744
1935,f,f,f,f,t,2
1935,f,f,f,t,,17472
1935,f,f,t,f,f,5
1935,f,f,t,t,,29
1935,t,f,f,f,f,761
1935,t,f,f,f,t,1
1935,t,f,f,t,,7765
1935,t,f,t,t,,4
1936,f,f,f,f,f,5277
1936,f,f,f,f,t,2
1936,f,f,f,t,,19895
1936,f,f,t,f,f,7
1936,f,f,t,t,,32
1936,t,f,f,f,f,968
1936,t,f,f,f,t,1
1936,t,f,f,t,,9669
1936,t,f,t,t,,4
1937,f,f,f,f,f,5309
1937,f,f,f,f,t,3
1937,f,f,f,t,,20072
1937,f,f,t,f,f,6
1937,f,f,t,t,,37
1937,t,f,f,f,f,828
1937,t,f,f,f,t,4
1937,t,f,f,t,,9648
1937,t,f,t,t,,2
1938,f,f,f,f,f,5431
1938,f,f,f,f,t,1
1938,f,f,f,t,,20527
1938,f,f,t,f,f,1
1938,f,f,t,t,,34
1938,t,f,f,f,f,988
1938,t,f,f,f,t,4
1938,t,f,f,t,,10022
1938,t,f,t,t,,3
1939,f,f,f,f,f,5489
1939,f,f,f,f,t,4
1939,f,f,f,t,,20377
1939,f,f,t,f,f,7
1939,f,f,t,t,,26
1939,t,f,f,f,f,1109
1939,t,f,f,f,t,6
1939,t,f,f,t,,9530
1939,t,f,t,t,,1
1940,f,f,f,f,f,5175
1940,f,f,f,f,t,2
1940,f,f,f,t,,18714
1940,f,f,t,f,f,7
1940,f,f,t,t,,28
1940,t,f,f,f,f,1095
1940,t,f,f,f,t,3
1940,t,f,f,t,,17303
1940,t,f,t,t,,1
1941,f,f,f,f,f,5104
1941,f,f,f,t,,18161
1941,f,f,t,f,f,2
1941,f,f,t,t,,30
1941,t,f,f,f,f,997
1941,t,f,f,f,t,2
1941,t,f,f,t,,7937
1942,f,f,f,f,f,4843
1942,f,f,f,f,t,3
1942,f,f,f,t,,17145
1942,f,f,t,f,f,9
1942,f,f,t,t,,28
1942,t,f,f,f,f,1040
1942,t,f,f,f,t,4
1942,t,f,f,t,,7554
1942,t,f,t,t,,1
1943,f,f,f,f,f,4270
1943,f,f,f,f,t,1
1943,f,f,f,t,,15543
1943,f,f,t,f,f,6
1943,f,f,t,t,,32
1943,t,f,f,f,f,1027
1943,t,f,f,f,t,1
1943,t,f,f,t,,7274
1943,t,f,t,t,,3
1944,f,f,f,f,f,4217
1944,f,f,f,f,t,6
1944,f,f,f,t,,14772
1944,f,f,t,f,f,4
1944,f,f,t,t,,29
1944,t,f,f,f,f,1005
1944,t,f,f,f,t,3
1944,t,f,f,t,,6436
1944,t,f,t,t,,2
1945,f,f,f,f,f,4212
1945,f,f,f,f,t,2
1945,f,f,f,t,,14398
1945,f,f,t,f,f,8
1945,f,f,t,t,,32
1945,t,f,f,f,f,1052
1945,t,f,f,f,t,1
1945,t,f,f,t,,12235
1945,t,f,t,t,,1
1946,f,f,f,f,f,4999
1946,f,f,f,t,,17190
1946,f,f,t,f,f,8
1946,f,f,t,t,,6
1946,t,f,f,f,f,1143
1946,t,f,f,f,t,3
1946,t,f,f,t,,23002
1947,f,f,f,f,f,5867
1947,f,f,f,f,t,1
1947,f,f,f,t,,19114
1947,f,f,t,f,f,7
1947,f,f,t,t,,7
1947,t,f,f,f,f,1379
1947,t,f,f,f,t,2
1947,t,f,f,t,,28735
1948,f,f,f,f,f,6884
1948,f,f,f,f,t,3
1948,f,f,f,t,,22015
1948,f,f,t,f,f,11
1948,f,f,t,t,,3
1948,t,f,f,f,f,1514
1948,t,f,f,f,t,4
1948,t,f,f,t,,31862
1949,f,f,f,f,f,7653
1949,f,f,f,f,t,6
1949,f,f,f,t,,24283
1949,f,f,t,f,f,1
1949,f,f,t,t,,5
1949,t,f,f,f,f,1605
1949,t,f,f,f,t,4
1949,t,f,f,t,,30601
1949,t,f,t,t,,1
1950,f,f,f,f,f,8654
1950,f,f,f,f,t,2
1950,f,f,f,t,,27114
1950,f,f,t,f,f,5
1950,f,f,t,t,,8
1950,t,f,f,f,f,2018
1950,t,f,f,f,t,7
1950,t,f,f,t,,45842
1950,t,f,t,t,,3
1951,f,f,f,f,f,9468
1951,f,f,f,f,t,4
1951,f,f,f,t,,29276
1951,f,f,t,f,f,7
1951,f,f,t,t,,8
1951,t,f,f,f,f,2037
1951,t,f,f,f,t,7
1951,t,f,f,t,,47368
1951,t,f,t,f,f,6
1951,t,f,t,t,,16
1952,f,f,f,f,f,9912
1952,f,f,f,f,t,2
1952,f,f,f,t,,29875
1952,f,f,t,f,f,4
1952,f,f,t,t,,14
1952,t,f,f,f,f,2017
1952,t,f,f,f,t,4
1952,t,f,f,t,,49641
1952,t,f,t,t,,12
1953,f,f,f,f,f,10482
1953,f,f,f,f,t,10
1953,f,f,f,t,,31563
1953,f,f,t,f,f,7
1953,f,f,t,t,,15
1953,t,f,f,f,f,2117
1953,t,f,f,f,t,2
1953,t,f,f,t,,50100
1953,t,f,t,f,f,1
1953,t,f,t,t,,8
1954,f,f,f,f,f,11585
1954,f,f,f,f,t,9
1954,f,f,f,t,,33247
1954,f,f,t,f,f,5
1954,f,f,t,t,,16
1954,t,f,f,f,f,2246
1954,t,f,f,f,t,5
1954,t,f,f,t,,50595
1954,t,f,t,f,f,1
1954,t,f,t,t,,10
1955,f,f,f,f,f,12155
1955,f,f,f,f,t,2
1955,f,f,f,t,,33751
1955,f,f,t,f,f,13
1955,f,f,t,t,,25
1955,t,f,f,f,f,2454
