,query_appears_in_title,nacsos_id,wos_id,title,authors,abstract,doi,pubyear
0,False,53229.0,WOS:000352241300010,EUROPE'S ROAD TO A SUSTAINABLE ENERGY-SUPPLY SYSTEM,"Schiffer, HW, Schiffer, HW","This paper examines how power generation in the European Union (EU) can be modernised along the lines of a sustainable solution pursuant to WEC principles. This means a re-design with the goal of implementing the EU's internal market and far-reaching decarbonisation. The example of Germany's energy U-turn shows one possible route, one that is marked by a massive expansion of renewable energies coupled with a phase-out of nuclear energy. Other European countries are pursuing different strategies. Current developments show that solutions chosen in any one country have direct implications for its neighbours. This is because electricity markets are continuing to grow together. In a spirit of solidarity between the member states, the closest possible review and coordination and/or harmonisation of policies are needed. This will allow the conversion process, which is associated with macro-economic costs, to be shaped on a cost-efficient basis. For utilities, the energy turnaround brings with it a multitude of challenges. Utilities must convert their generation portfolio and, in particular, perceptibly increase their share of low-carbon energies. Conventional power plants must be designed flexibly, so that - besides volatility in consumption - fluctuations in the feed-in of renewable energies, too, can be offset. In addition to this technical requirement, energy suppliers are facing a situation in which the utilisation period of conventional power stations is falling as a result of the growing feed-in of renewables. On top of this comes the fact that wholesale electricity prices on sunny days are pushed down despite high demand owing to the growing feed-in of electricity from photovoltaic systems. Both factors limit the options for obtaining the necessary contributions to cover fixed costs on the market. This raises the issue of the market design of the future. The launch of capacity mechanisms, ie remuneration for the product 'firm capacity' supplementing the income obtained from the sale of electricity, could help. At the same time, capacity mechanisms could be a suitable instrument for coping with power failures. This brings politics into the game. With electricity markets growing together, the central requirement to be met by a capacity-market mechanism is that harmonised regulations, a discrimination-free design and technology neutrality are ensured throughout Europe. This is regarded as indispensable for creating a level playing field. Also as regards reaching the goal of Europe's climate policy, viz. a lowering of greenhouse-gas emissions by at least 80% by 2050 compared with 1990, the rule must be to prioritise European solutions over any national regulation. In addition, a procedure in climate policy that is more stringently reviewed at international level is considered unavoidable. Cost efficiency in reaching climate goals means backing market instruments. CO2 emissions trading should be accorded the role of leading instrument in climate protection. The instrument can be used to achieve agreed quantity targets for CO2 emissions reliably and at the least possible costs. One argument in favour of anchoring the trade in emissions as leading instrument to shape a sustainable energy supply is that the costs of transforming the energy system can be kept within bounds. Renewable energies enter the system with rising CO2 prices on a market-driven basis. The various technologies compete with one another and with other CO2-avoidance technologies, like increases in efficiency, utilisation of nuclear energy and CO2 capture and storage (CCS). One current study says that the expected growth in electricity consumption in the EU by some 1,000 TWh by 2050 will be covered by adding renewable energies if the focus is on trade in emissions as leading instrument. This doubles the share of renewables in power generation by 2050 to about 50%. After 2030, with rising CO2 prices, CCS, too, becomes profitable. If we were to rule out this technology for lowering CO2, much higher costs for the aimed-at decarbonisation of power generation would have to be accepted.",10.1260/0958-305X.26.1-2.111,2015.0
1,False,1814349.0,WOS:000361030004048,Transitions to sustainable energy and material systems - outline of principles for scenarios,"Wang, ZY, Wang, QX, Wennersten, R, Sun, Q","There is more or less consensus around the problems related to the existing energy systems in the world. Most focus has been on the negative environmental effects of using fossil fuels. However, looking at the development there seems to be important barriers for change. Many papers and reports conclude that the renewable energy sources have the potential to run the world and the technology needed to do so is available. A relevant and important question in this paper is then why is this potential only marginally utilized? Often the high prices of renewables are said to be one barrier and that technology change will gradually increase the advantages of renewable energy. However considerations based solely on thermodynamics and energy systems analysis, no matter how simple they are, lead to a very serious conclusion, namely that the utilization of renewable energy does not support continuous growth as we know it. In order to develop pathways for change, scenarios can be used to support decision making involving all key actors in society. In this paper we outline the driving forces why we ended up in the energy systems we have today. The competition between fossil fuels and renewable energy must be analyzed at a more fundamental thermodynamic level. This analysis has also to include the links between energy and material transformation. Understanding this we can outline possible roadmaps for transitions to more sustainable energy and material systems starting from primary energy sources. The strong dependence on fossil fuels now will require long transitions periods for change. However it is important to start the transitions taking small steps forward. The problem related to fossil fuels and climate change will not be solved in due time. The only realistic options here is Carbon Capture and storage together with climate change adaption. One difficulty in making scenarios is to handle changes in technology and people's behavior. By developing evolutionary forecasting scenarios (EFS) different roadmaps can be evaluated, including continuous and discontinuous technology change. The key parameter that will determine the inevitable transitions in energy use and the future of our civilization is the emergy yield ratio we can obtain from the renewable energy sources. For material transformation conservation of low entropy states will be of high importance. (C) 2015 The Authors. Published by Elsevier Ltd.",10.1016/j.egypro.2015.07.671,2015.0
2,False,409360.0,WOS:000352800800026,Integration of calcium looping technology in existing cement plant for CO2 capture: Process modeling and technical considerations,"Atsonios, K, Grammelis, P, Antiohos, SK, Nikolopoulos, N, Kakaras, E","Cement sector is currently responsible for approximately 5% of the global CO2 emissions. CO2 originates principally from the raw meal calcination stage and conventional fuel (e.g. coal) combustion for the thermal needs of the process. Carbon capture and storage (CCS) is among the examined technologies for mitigating CO2 emissions generated in a cement plant. A very competitive technology for CO2 capture from flue gases appears to be Calcium Looping (CaL). The process is realized in a dual fluidized bed system where CO2 is absorbed by CaO in the first reactor (carbonator), and the produced CaCO3 is regenerated in the second oxy - fired reactor (calciner). During calcination, CO2 is released from the sorbents, purified, compressed and finally led to storage. Among the advantages of CaL when compared against other CO2 capturing technologies that could be applied in the cement industry, are the familiarity of the sector with the management (extraction, storage, feeding, etc.) of CaO-bearing materials and the prospect of reusing purge CaO in cement making as it is chemically compatible with cement raw meal. This study describes the process modeling of the CaL implementation on a typical (no by-pass) five-stage preheater with pre-calciner cement plant as a retrofit option, in order to capture the CO2 produced through the clinker production. The process simulations were performed with the commercial software ASPEN Plus (TM) in conjunction with house-built models for the CaL process itself. A detailed description of the process configuration of the CO2 capture unit including its integration with the CO2 purification scheme and the basic parameters for the clinker production line are presented. Simulation results revealed that high S content in the supplementary fuel affects negatively the CaL performance and the quality of purge CaO in terms of replacing limestone in the kiln feed. Using low-sulfur coal for a 90% capture rate, a total purge CaO utilization can be achieved along with a raw limestone substitution of 8% and a net electricity yield of 426.66 kWh/t clinker. The economic evaluation of the proposed concept was also performed, estimating that the cost for CO2 avoidance equals approx. 68.75 sic/tCO(2). In terms of economic efficiency, CaL was found to be comparable to amine scrubbing. Give that CaL has not been examined so extensively as MEA, it has the potential for technical improvements in order to become more competitive by the adoption of novel concepts with smaller equipment cost. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.fuel.2015.02.084,2015.0
3,False,181306.0,WOS:000358809400008,Energy-saving pathway exploration of CCS integrated with solar energy: Literature research and comparative analysis,"Zhao, RK, Deng, S, Zhao, L, Liu, YN, Tan, YT","One of main technical barriers to a large-scale application of carbon capture and storage (CCS) technology is a significant amount of required energy, e.g., regeneration heat of solvent in the chemical absorption system. Thus, energy consumption and corresponding high operation cost become two primary challenges for the promotion of CCS technology. Meanwhile, energy from the solar source in various forms has already been successfully used as an effective alternative supply in the industrial section for drying, heating and even cooling. Thus, integrating solar energy utilization into the CCS process could be a reasonable option for a sustainable development. A comparative analysis of CCS integrated with solar energy was presented in this paper based on the existing researches. The current status on typical configuration structure, feature and energy-efficiency performance of integrating options is reviewed for post-combustion, pre-combustion and oxygen-combustion systems. Based on these typical CO2 capture systems, a theoretical analysis is conducted for an energy-efficient comparison. Then four typical structures of the post-combustion system, which are highlighted in the review, are chosen as comparative objects for energy-saving and techno-economic evaluation. The results show that systems with a solar-assisted thermal energy and power generation have comparative advantages in term of carbon emission intensity, but the economic cost is increased under the current conditions of the equipment price. Compared to that of baseline case, carbon emission intensity of the case integrated with solar Organic Rankine Cycle can be reduced with a maximum decline of 9.73%, meanwhile the levelized costs of electricity increases 0.01 USD/kW h correspondingly. (c) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.enconman.2015.01.018,2015.0
4,False,235256.0,WOS:000371605800007,Greenhouse gas emissions reduction in China by cleaner coal technology towards 2020,"Zhao, GL, Chen, S","The Chinese energy system, a major CO2 emitter, relies heavily on fossil fuels, especially coal. Coal will continue to play a major role in the new installed power generation capacity in the future, which will cause unavoidable environmental problems. Clean coal technologies (CCTs) are essential for emissions reduction in the power sector. In general, CCTs cover coal upgrading, efficiency improvements, advanced technologies and zero emissions technologies. Besides these, CCTs also include other emissions reduction technologies and comprehensive utilization technologies in China. This paper review the complete life cycle modeling of CCTs. The advanced technologies include super-critical (super-C), ultra super-critical (USC) and integrated gasification combined cycle (IGCC). The results show that the higher efficiency technologies have lower potential impacts. Compared with the average level of power generation technology, CO2 emissions reduction is 6.4% for super-C, 37.4% for USC and 61.5% for IGCC. Four coal power scenarios are developed based on the assumption of potential investment power for CCTs in 2020, which are super-C, USC, USC and old low efficiency generation substitution by USC, IGCC and carbon capture and storage (CCS). The CO2 emissions intensity is 1.93 kg/kWh for super-C, 1.69 kg/kWh for USC, 1.59 kg/kWh for USC + replacement and 1.29 kg/kWh for IGCC + CCS. The CO2 emissions intensity was 1.95 kg/kWh in 2010, which had decreased 5.5% compared with the level in 2005. The energy structure is continuously being improved and optimized. The potential carbon reduction will be limited in the power system in 2020 by current commercial CCTs with the generation efficiency increase. The most impressive technology is IGCC with CCS which enables greenhouse gas reduction of 37.6% compared with the level in 2005. (C) 2014 Elsevier Ltd. All rights reserved.",10.1016/j.esr.2014.08.001,2015.0
5,False,631425.0,WOS:000356990800030,CO2-EWR: a cleaner solution for coal chemical industry in China,"Li, Q, Wei, YN, Liu, GZ, Shi, H","Anthropogenic greenhouse gas emissions become the primary factor for the global warming, whereas carbon dioxide (CO2), as one of the primary greenhouse gases, takes an inescapable responsibility for climate change. Currently, various energy conservation and carbon emission reduction technologies, including the carbon capture and storage (CCS) technology, as well as other clean, low-carbon energy exploitation technologies exhibit a rapid development trend to alleviate the growing crisis of climate change. Other than traditional CO2 geological storage, a novel geoengineering approach of CO2 geological utilization and storage, named CO2 geological storage combining with deep saline water/brine recovery (CO2-EWR), is put forward to solve the dilemma between the increasing carbon emissions from coal chemical industry and national energy and water security in China. Compared with the traditional CCS technology, CO2-EWR has two advantages: (1) it can control the relief of reservoir pressure and water production by a reasonable design of pumping wells to achieve the security and stability of the large-scale geological storage of CO2; (2) it can collect and process deep saline water after a treatment for life drinking, industrial and/or agricultural utilizations to alleviate the water shortage situation as well as ecological environmental problems, and in addition, the deep brine resources may create considerable profit margins by cascade extraction, which could be used to fill the gap of cost primarily criticized from capture and sequestration processes of current CCS technologies. China mainland can be partitioned into three potential CO2-EWR zones primarily according to different types of aquifer system, whereas considering research and development maturity and cost prediction of the potential technology adopted, it can be found that coal power and coal chemical enterprises in China's western region have an early opportunity. Three sub-modules of CO2-EWR technology including CO2 storage in deep saline aquifer, saline water extraction and desalination as well as brine resources utilization are analyzed from a prospective of energy conservation, carbon emission reduction and environmental friendship. Through detailed analyses, it can be concluded that CO2-EWR technology can be absolutely considered as a clean technology for environmental improvement and green development, and finally development direction and future prospective of the CO2-EWR technology are pointed out. (C) 2014 Elsevier Ltd. All rights reserved.",10.1016/j.jclepro.2014.09.073,2015.0
6,False,242048.0,WOS:000346192900007,Alternative Energy Technologies for Long-term Power Generation Expansion Planning and CO2 Mitigation in Thailand,"Pattanapongchai, A, Limmeechokchai, B","In 2009 electricity production in Thailand was heavily dependent on fossil fuels (more than 92.73%). Domestic natural gas fields are a plentiful energy resource but it is projected to be available only for the next decade. Using domestic natural gas would reduce national energy security. However, coal will dominate in electricity generation in Thailand due to its low price. Utilization of coal results in increasing CO2 emissions. To comply with the low-carbon society policy of the Royal Thai Government, a high target of achievement in alternative energy share of 20.40% in total energy consumption in 2022 has been proposed. The obvious answer to this challenge is to take advantage of Thailand as an agriculture-based country, especially in domestic renewable energy and clean power generation. Thailand's renewable power development plan strategy is considered by increasing the share to 2.40% in 2024. Electricity generation in this scenario is compared with future fossil-based power plants with carbon capture and storage and nuclear power in the long-term energy planning. Finally, the low carbon socity scenario for the emission abatement policy is introduced to mitigate emissions. Results are presented in total supply system cost, the incremental cost of CO2 mitigation and the co-benefits of greenhouse gas mitigation when compared to the business-as-usual scenario. Finally, Thailand could reduce CO2 emissions from the power sector by 15.27% in 2026.",10.1080/15567249.2010.545795,2015.0
7,False,584835.0,WOS:000367110200008,Comparative techno-economic assessment of biomass and coal with CCS technologies in a pulverized combustion power plant in the United Kingdom,"Al-Qayim, K, Nimmo, W, Pourkashanian, M","The technical performance and cost effectiveness of white wood pellets (WWP) combustion in comparison to three types of coal namely U.S., Russian and Colombian coals are investigated in this study. Post-combustion capture and storage (CCS) namely with amine FG+, and oxy-fuel with carbon capture and storage (oxy-fuel) are applied to a 650 MW pulverized combustion (PC) plant. The impacts of the Renewable Obligation Certificate (ROC) and carbon price (CP) policy in accelerating the CCS deployment in the framework of GHG emissions mitigation, are also evaluated. The operational factors affecting CCS costs and emissions in the power generation plants are taken into consideration, hence, the Integrated Environmental Control Model (IECM 8.0.2) is employed for a systematic estimation of plant performance, costs and emissions of different scenarios of fuel and CCS technologies. This study showed that the utilization of white wood pellets (WWP) in electricity generation can annually avoid about 3 M tonnes CO2 emissions from a 650 MW power plant. However, this mitigation process had impact on the plant efficiency and the cost of electricity. Further, the BECCS using white wood pellets has showed a better efficiency and lower cost of electricity with the oxy-fuel technology than the post-combustion CCS technology. However, in order to boost biomass energy CCS (BECCS) deployment with the WWP, an increase of the ROC for biomass power plants, or, an increase of the carbon price for the coal power plants is recommended. It was found that, the sensitivity of COE towards the ROC was higher than towards the carbon price variation. This result can be interpreted as the ROC has more positive impact than the carbon price, on the COE from the point of customers view without adding more burdens on the power generation companies. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.ijggc.2015.10.013,2015.0
8,False,1807895.0,WOS:000217233200004,CIUDEN experiences in CO2 capture by oxycombustion,"Otero, P, Alvarez, I, Gutierrez, JA","One of the most relevant European R&D&D initiatives focusing on Carbon Capture Utilization and Storage (CCUS) is the CIUDEN Carbon Capture and Storage Project, which is supported by the Spanish Government through the Fundacion Ciudad de la Energia (CIUDEN). CIUDEN investigates CCUS in es. CO2 which has three main facilities: Technology Development Centre for CO2 Capture, the CO2 Transport Experimental Facility and the CO2 Storage Technology Development Plant. The Technology Development Centre for CO2 Capture and the CO2 Transport Experimental Facility, located in Cubillos del Sil (NW Spain), incorporates the world's most advanced equipment for the development of oxycombustion and CO2 transport. Combustion capacities are based on two technologies: pulverized coal (PC) and circulating fluidized bed (CFB). Furthermore, gasification research can be carried out in a Biomass Gasifier (3 MW th). CIUDEN CO2 Storage Technology Development Plant, based in Hontomin (N Spain), allows carrying out experiments in real scale in saline formations to develop CO2 storage knowledge. es.CO2 will provide a real basis for the design, construction and operation of a future CCUS plants, CO2 transport and final underground CO2 storage in a deep saline geological formation. This paper focuses on first experiences of CIUDEN R&D&D portfolio which includes, among others: OXYCFB300 COMPOSTILLA PROJECT, one of the six projects funded by the European Energy Programme for Recovery (EEPR); FLEXIBURN CFB - Demonstration of flexible high-efficiency CFB combustion technology in air and oxy-modes for CCS; RELCOM - R&D&D activities for reliable full-scale deployment of oxy-PC firing; MACPLUS Develop and test full-scale prototypes of components to improve performance and reliability of CCS Power Stations; BRISK - integrate networking activities, joint research activities and transnational access to research infrastructures for enhancing biomass utilization.",,2015.0
9,False,161049.0,WOS:000360274600002,"A multi-scale framework for CO2 capture, utilization, and sequestration: CCUS and CCUM","Hasan, MMF, First, EL, Boukouvala, F, Floudas, CA","We present a multi-scale framework for the optimal design of CO2 capture, utilization, and sequestration (CCUS) supply chain network to minimize the cost while reducing stationary CO2 emissions in the United States. We also design a novel CO2 capture and utilization (CCU) network for economic benefit through utilizing CO2 for enhanced oil recovery. Both the designs of CCUS and CCU supply chain networks are multi-scale problems which require decision making at material, process and supply chain levels. We present a hierarchical and multi-scale framework to design CCUS and CCU supply chain networks with minimum investment, operating and material costs. While doing so, we take into consideration the selection of source plants, capture processes, capture materials, CO2 pipelines, locations of utilization and sequestration sites, and amounts of CO2 storage. Each CO2 capture process is optimized, and the best materials are screened from large pool of candidate materials. Our optimized CCUS supply chain network can reduce 50% of the total stationary CO2 emission in the U.S. at a cost of $35.63 per ton of CO2 captured and managed. The optimum CCU supply chain network can capture and utilize CO2 to make a total profit of more than 555 million dollars per year ($9.23 per ton). We have also shown that more than 3% of the total stationary CO2 emissions in the United States can be eliminated through CCU networks at zero net cost. These results highlight both the environmental and economic benefits which can be gained through CCUS and CCU networks. We have designed the CCUS and CCU networks through (i) selecting novel materials and optimized process configurations for CO2 capture, (ii) simultaneous selection of materials and capture technologies, (iii) CO2 capture from diverse emission sources, and (iv) CO2 utilization for enhanced oil recovery. While we demonstrate the CCUS and CCU networks to reduce stationary CO2 emissions and generate profits in the United States, the proposed framework can be applied to other countries and regions as well. (c) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.compchemeng.2015.04.034,2015.0
